sentence,prompt
"Market-making in the rarely-traded FTO contract was expected to begin today "","" but an EOE spokesman said the 10 banks and brokers involved in the initiative needed time to get accustomed to changes in the electronic trading system .",needed time to get accustomed is not a named entity .
"Market-making in the rarely-traded FTO contract was expected to begin today "","" but an EOE spokesman said the 10 banks and brokers involved in the initiative needed time to get accustomed to changes in the electronic trading system .",initiative needed is not a named entity .
Dutch police said on Friday they had found missing German girl Nicole Nichterwitz alive on a campsite in the northern city of Groningen and had arrested her aunt and companion on charges of kidnapping .,Dutch is an other entity .
Dutch police said on Friday they had found missing German girl Nicole Nichterwitz alive on a campsite in the northern city of Groningen and had arrested her aunt and companion on charges of kidnapping .,German is an other entity .
Dutch police said on Friday they had found missing German girl Nicole Nichterwitz alive on a campsite in the northern city of Groningen and had arrested her aunt and companion on charges of kidnapping .,Nicole Nichterwitz is a person entity .
Dutch police said on Friday they had found missing German girl Nicole Nichterwitz alive on a campsite in the northern city of Groningen and had arrested her aunt and companion on charges of kidnapping .,Groningen is a location entity .
Dutch police said on Friday they had found missing German girl Nicole Nichterwitz alive on a campsite in the northern city of Groningen and had arrested her aunt and companion on charges of kidnapping .,campsite in is not a named entity .
Dutch police said on Friday they had found missing German girl Nicole Nichterwitz alive on a campsite in the northern city of Groningen and had arrested her aunt and companion on charges of kidnapping .,city of Groningen and had is not a named entity .
Dutch police said on Friday they had found missing German girl Nicole Nichterwitz alive on a campsite in the northern city of Groningen and had arrested her aunt and companion on charges of kidnapping .,on Friday they had found missing German girl is not a named entity .
Dutch police said on Friday they had found missing German girl Nicole Nichterwitz alive on a campsite in the northern city of Groningen and had arrested her aunt and companion on charges of kidnapping .,missing German girl Nicole Nichterwitz alive on is not a named entity .
Dutch police said on Friday they had found missing German girl Nicole Nichterwitz alive on a campsite in the northern city of Groningen and had arrested her aunt and companion on charges of kidnapping .,Nichterwitz alive on is not a named entity .
Dutch police said on Friday they had found missing German girl Nicole Nichterwitz alive on a campsite in the northern city of Groningen and had arrested her aunt and companion on charges of kidnapping .,police said on is not a named entity .
Dutch police said on Friday they had found missing German girl Nicole Nichterwitz alive on a campsite in the northern city of Groningen and had arrested her aunt and companion on charges of kidnapping .,northern city of Groningen and had is not a named entity .
Dutch police said on Friday they had found missing German girl Nicole Nichterwitz alive on a campsite in the northern city of Groningen and had arrested her aunt and companion on charges of kidnapping .,found missing German is not a named entity .
Lotte 46 6 54 .462 14 1/2,Lotte is an organization entity .
Lotte 46 6 54 .462 14 1/2,46 6 54 .462 14 1/2 is not a named entity .
Lotte 46 6 54 .462 14 1/2,14 1/2 is not a named entity .
Cardiff 4 2 1 1 3 2 7,Cardiff is an organization entity .
Cardiff 4 2 1 1 3 2 7,4 2 1 is not a named entity .
Cardiff 4 2 1 1 3 2 7,2 1 is not a named entity .
George Bush became president in 1988 on his no-new-tax campaign and Clinton won in 1992 with a promise to fatten workers ' paychecks .,George Bush is a person entity .
George Bush became president in 1988 on his no-new-tax campaign and Clinton won in 1992 with a promise to fatten workers ' paychecks .,Clinton is a person entity .
George Bush became president in 1988 on his no-new-tax campaign and Clinton won in 1992 with a promise to fatten workers ' paychecks .,workers ' paychecks is not a named entity .
George Bush became president in 1988 on his no-new-tax campaign and Clinton won in 1992 with a promise to fatten workers ' paychecks .,to fatten workers ' is not a named entity .
George Bush became president in 1988 on his no-new-tax campaign and Clinton won in 1992 with a promise to fatten workers ' paychecks .,no-new-tax is not a named entity .
George Bush became president in 1988 on his no-new-tax campaign and Clinton won in 1992 with a promise to fatten workers ' paychecks .,no-new-tax campaign and is not a named entity .
CRICKET - LEICESTERSHIRE TAKE OVER AT TOP AFTER INNINGS VICTORY .,LEICESTERSHIRE is an organization entity .
CRICKET - LEICESTERSHIRE TAKE OVER AT TOP AFTER INNINGS VICTORY .,INNINGS VICTORY . is not a named entity .
CRICKET - LEICESTERSHIRE TAKE OVER AT TOP AFTER INNINGS VICTORY .,TAKE OVER AT TOP AFTER INNINGS VICTORY . is not a named entity .
""""""""" Today the concentration was the most important thing for me "","" """""""" Mitchell said .",Mitchell is a person entity .
""""""""" Today the concentration was the most important thing for me "","" """""""" Mitchell said .","important thing for me "","" is not a named entity ."
""""""""" Today the concentration was the most important thing for me "","" """""""" Mitchell said .",concentration was the most important is not a named entity .
"we suffered "","" """""""" said Van Moer "","" who succeeded Paul Van Himst as coach in April .",Van Moer is a person entity .
"we suffered "","" """""""" said Van Moer "","" who succeeded Paul Van Himst as coach in April .",Paul Van Himst is a person entity .
"we suffered "","" """""""" said Van Moer "","" who succeeded Paul Van Himst as coach in April .",Himst is not a named entity .
"we suffered "","" """""""" said Van Moer "","" who succeeded Paul Van Himst as coach in April .",Paul Van Himst as coach is not a named entity .
"we suffered "","" """""""" said Van Moer "","" who succeeded Paul Van Himst as coach in April .",Himst as coach in is not a named entity .
"we suffered "","" """""""" said Van Moer "","" who succeeded Paul Van Himst as coach in April .",Himst as is not a named entity .
U.S.-led allied planes based in Turkey are intended to protect the Kurds from Baghdad .,U.S.-led is an other entity .
U.S.-led allied planes based in Turkey are intended to protect the Kurds from Baghdad .,Turkey is a location entity .
U.S.-led allied planes based in Turkey are intended to protect the Kurds from Baghdad .,Kurds is an other entity .
U.S.-led allied planes based in Turkey are intended to protect the Kurds from Baghdad .,Baghdad is a location entity .
U.S.-led allied planes based in Turkey are intended to protect the Kurds from Baghdad .,in Turkey are intended to is not a named entity .
U.S.-led allied planes based in Turkey are intended to protect the Kurds from Baghdad .,U.S.-led allied planes based in Turkey are intended is not a named entity .
U.S.-led allied planes based in Turkey are intended to protect the Kurds from Baghdad .,protect the Kurds from Baghdad is not a named entity .
U.S.-led allied planes based in Turkey are intended to protect the Kurds from Baghdad .,the is not a named entity .
U.S.-led allied planes based in Turkey are intended to protect the Kurds from Baghdad .,allied is not a named entity .
U.S.-led allied planes based in Turkey are intended to protect the Kurds from Baghdad .,the Kurds from is not a named entity .
U.S.-led allied planes based in Turkey are intended to protect the Kurds from Baghdad .,Turkey are intended is not a named entity .
U.S.-led allied planes based in Turkey are intended to protect the Kurds from Baghdad .,to protect the Kurds from Baghdad is not a named entity .
"Palestinian President Yasser Arafat arrived in the West Bank self-rule enclave of Nablus from Ramallah on Friday "","" witnesses said .",Palestinian is an other entity .
"Palestinian President Yasser Arafat arrived in the West Bank self-rule enclave of Nablus from Ramallah on Friday "","" witnesses said .",Yasser Arafat is a person entity .
"Palestinian President Yasser Arafat arrived in the West Bank self-rule enclave of Nablus from Ramallah on Friday "","" witnesses said .",West Bank is a location entity .
"Palestinian President Yasser Arafat arrived in the West Bank self-rule enclave of Nablus from Ramallah on Friday "","" witnesses said .",Nablus is a location entity .
"Palestinian President Yasser Arafat arrived in the West Bank self-rule enclave of Nablus from Ramallah on Friday "","" witnesses said .",Ramallah is a location entity .
"Palestinian President Yasser Arafat arrived in the West Bank self-rule enclave of Nablus from Ramallah on Friday "","" witnesses said .",of Nablus from Ramallah is not a named entity .
"Palestinian President Yasser Arafat arrived in the West Bank self-rule enclave of Nablus from Ramallah on Friday "","" witnesses said .",President Yasser Arafat arrived in the West Bank is not a named entity .
"Palestinian President Yasser Arafat arrived in the West Bank self-rule enclave of Nablus from Ramallah on Friday "","" witnesses said .",President Yasser Arafat arrived in the West is not a named entity .
"Palestinian President Yasser Arafat arrived in the West Bank self-rule enclave of Nablus from Ramallah on Friday "","" witnesses said .",Bank is not a named entity .
"Palestinian President Yasser Arafat arrived in the West Bank self-rule enclave of Nablus from Ramallah on Friday "","" witnesses said .",of is not a named entity .
"Palestinian President Yasser Arafat arrived in the West Bank self-rule enclave of Nablus from Ramallah on Friday "","" witnesses said .",the West is not a named entity .
"Palestinian President Yasser Arafat arrived in the West Bank self-rule enclave of Nablus from Ramallah on Friday "","" witnesses said .","Ramallah on Friday "","" witnesses is not a named entity ."
"Palestinian President Yasser Arafat arrived in the West Bank self-rule enclave of Nablus from Ramallah on Friday "","" witnesses said .","Nablus from Ramallah on Friday "","" witnesses said is not a named entity ."
"Palestinian President Yasser Arafat arrived in the West Bank self-rule enclave of Nablus from Ramallah on Friday "","" witnesses said .","on Friday "","" is not a named entity ."
"Palestinian President Yasser Arafat arrived in the West Bank self-rule enclave of Nablus from Ramallah on Friday "","" witnesses said .",Bank self-rule enclave of Nablus from Ramallah is not a named entity .
"They said 200 fighter planes "","" including 79 on the aircraft carrier Carl Vinson "","" were already in the Gulf ; the aircraft carrier Enterprise was in the eastern Mediterranean with 79 more "","" and an air expeditionary force with up to 40 more was ready to fly from the United States if ordered .",Carl Vinson is an other entity .
"They said 200 fighter planes "","" including 79 on the aircraft carrier Carl Vinson "","" were already in the Gulf ; the aircraft carrier Enterprise was in the eastern Mediterranean with 79 more "","" and an air expeditionary force with up to 40 more was ready to fly from the United States if ordered .",Gulf is a location entity .
"They said 200 fighter planes "","" including 79 on the aircraft carrier Carl Vinson "","" were already in the Gulf ; the aircraft carrier Enterprise was in the eastern Mediterranean with 79 more "","" and an air expeditionary force with up to 40 more was ready to fly from the United States if ordered .",Enterprise is an other entity .
"They said 200 fighter planes "","" including 79 on the aircraft carrier Carl Vinson "","" were already in the Gulf ; the aircraft carrier Enterprise was in the eastern Mediterranean with 79 more "","" and an air expeditionary force with up to 40 more was ready to fly from the United States if ordered .",Mediterranean is an other entity .
"They said 200 fighter planes "","" including 79 on the aircraft carrier Carl Vinson "","" were already in the Gulf ; the aircraft carrier Enterprise was in the eastern Mediterranean with 79 more "","" and an air expeditionary force with up to 40 more was ready to fly from the United States if ordered .",United States is a location entity .
"They said 200 fighter planes "","" including 79 on the aircraft carrier Carl Vinson "","" were already in the Gulf ; the aircraft carrier Enterprise was in the eastern Mediterranean with 79 more "","" and an air expeditionary force with up to 40 more was ready to fly from the United States if ordered .",aircraft carrier Enterprise was in is not a named entity .
"They said 200 fighter planes "","" including 79 on the aircraft carrier Carl Vinson "","" were already in the Gulf ; the aircraft carrier Enterprise was in the eastern Mediterranean with 79 more "","" and an air expeditionary force with up to 40 more was ready to fly from the United States if ordered .",the aircraft carrier Carl is not a named entity .
"They said 200 fighter planes "","" including 79 on the aircraft carrier Carl Vinson "","" were already in the Gulf ; the aircraft carrier Enterprise was in the eastern Mediterranean with 79 more "","" and an air expeditionary force with up to 40 more was ready to fly from the United States if ordered .",Gulf ; the aircraft carrier Enterprise was is not a named entity .
"They said 200 fighter planes "","" including 79 on the aircraft carrier Carl Vinson "","" were already in the Gulf ; the aircraft carrier Enterprise was in the eastern Mediterranean with 79 more "","" and an air expeditionary force with up to 40 more was ready to fly from the United States if ordered .",40 is not a named entity .
"They said 200 fighter planes "","" including 79 on the aircraft carrier Carl Vinson "","" were already in the Gulf ; the aircraft carrier Enterprise was in the eastern Mediterranean with 79 more "","" and an air expeditionary force with up to 40 more was ready to fly from the United States if ordered .",expeditionary force with up to 40 is not a named entity .
"They said 200 fighter planes "","" including 79 on the aircraft carrier Carl Vinson "","" were already in the Gulf ; the aircraft carrier Enterprise was in the eastern Mediterranean with 79 more "","" and an air expeditionary force with up to 40 more was ready to fly from the United States if ordered .",to fly from the United States is not a named entity .
"They said 200 fighter planes "","" including 79 on the aircraft carrier Carl Vinson "","" were already in the Gulf ; the aircraft carrier Enterprise was in the eastern Mediterranean with 79 more "","" and an air expeditionary force with up to 40 more was ready to fly from the United States if ordered .","more "","" is not a named entity ."
"They said 200 fighter planes "","" including 79 on the aircraft carrier Carl Vinson "","" were already in the Gulf ; the aircraft carrier Enterprise was in the eastern Mediterranean with 79 more "","" and an air expeditionary force with up to 40 more was ready to fly from the United States if ordered .","the aircraft carrier Carl Vinson "","" were is not a named entity ."
"They said 200 fighter planes "","" including 79 on the aircraft carrier Carl Vinson "","" were already in the Gulf ; the aircraft carrier Enterprise was in the eastern Mediterranean with 79 more "","" and an air expeditionary force with up to 40 more was ready to fly from the United States if ordered .",air expeditionary is not a named entity .
"They said 200 fighter planes "","" including 79 on the aircraft carrier Carl Vinson "","" were already in the Gulf ; the aircraft carrier Enterprise was in the eastern Mediterranean with 79 more "","" and an air expeditionary force with up to 40 more was ready to fly from the United States if ordered .","200 fighter planes "","" including 79 is not a named entity ."
The Dutch transport minister Annemarie Jorritsma told the country ' second chamber that there is no further need to investigate the 1992 crash of an El Al freighter which left 43 dead in an Amsterdam suburb .,Dutch is an other entity .
The Dutch transport minister Annemarie Jorritsma told the country ' second chamber that there is no further need to investigate the 1992 crash of an El Al freighter which left 43 dead in an Amsterdam suburb .,Annemarie Jorritsma is a person entity .
The Dutch transport minister Annemarie Jorritsma told the country ' second chamber that there is no further need to investigate the 1992 crash of an El Al freighter which left 43 dead in an Amsterdam suburb .,El Al is an organization entity .
The Dutch transport minister Annemarie Jorritsma told the country ' second chamber that there is no further need to investigate the 1992 crash of an El Al freighter which left 43 dead in an Amsterdam suburb .,Amsterdam is a location entity .
The Dutch transport minister Annemarie Jorritsma told the country ' second chamber that there is no further need to investigate the 1992 crash of an El Al freighter which left 43 dead in an Amsterdam suburb .,Dutch transport minister Annemarie Jorritsma told the country is not a named entity .
The Dutch transport minister Annemarie Jorritsma told the country ' second chamber that there is no further need to investigate the 1992 crash of an El Al freighter which left 43 dead in an Amsterdam suburb .,1992 crash of an El Al freighter which is not a named entity .
The Dutch transport minister Annemarie Jorritsma told the country ' second chamber that there is no further need to investigate the 1992 crash of an El Al freighter which left 43 dead in an Amsterdam suburb .,country ' second chamber that there is is not a named entity .
The Dutch transport minister Annemarie Jorritsma told the country ' second chamber that there is no further need to investigate the 1992 crash of an El Al freighter which left 43 dead in an Amsterdam suburb .,which is not a named entity .
The Dutch transport minister Annemarie Jorritsma told the country ' second chamber that there is no further need to investigate the 1992 crash of an El Al freighter which left 43 dead in an Amsterdam suburb .,1992 crash of an El is not a named entity .
The Dutch transport minister Annemarie Jorritsma told the country ' second chamber that there is no further need to investigate the 1992 crash of an El Al freighter which left 43 dead in an Amsterdam suburb .,the 1992 crash of is not a named entity .
The Dutch transport minister Annemarie Jorritsma told the country ' second chamber that there is no further need to investigate the 1992 crash of an El Al freighter which left 43 dead in an Amsterdam suburb .,there is no further is not a named entity .
The Dutch transport minister Annemarie Jorritsma told the country ' second chamber that there is no further need to investigate the 1992 crash of an El Al freighter which left 43 dead in an Amsterdam suburb .,transport minister is not a named entity .
2. Norberto Tellez ( Cuba ) 1:44.58,Norberto Tellez is a person entity .
2. Norberto Tellez ( Cuba ) 1:44.58,Cuba is a location entity .
2. Norberto Tellez ( Cuba ) 1:44.58,Norberto Tellez ( Cuba ) is not a named entity .
2. Norberto Tellez ( Cuba ) 1:44.58,Tellez ( Cuba is not a named entity .
2. Norberto Tellez ( Cuba ) 1:44.58,2. Norberto Tellez ( Cuba ) 1:44.58 is not a named entity .
2. Norberto Tellez ( Cuba ) 1:44.58,Norberto Tellez ( Cuba is not a named entity .
Alba ( Germany ) 75 Red Star ( Yugoslavia ) 70 ( 42-41 ),Alba is an organization entity .
Alba ( Germany ) 75 Red Star ( Yugoslavia ) 70 ( 42-41 ),Germany is a location entity .
Alba ( Germany ) 75 Red Star ( Yugoslavia ) 70 ( 42-41 ),Red Star is an organization entity .
Alba ( Germany ) 75 Red Star ( Yugoslavia ) 70 ( 42-41 ),Yugoslavia is a location entity .
Alba ( Germany ) 75 Red Star ( Yugoslavia ) 70 ( 42-41 ),Star ( is not a named entity .
Alba ( Germany ) 75 Red Star ( Yugoslavia ) 70 ( 42-41 ),Alba ( Germany ) 75 Red is not a named entity .
Alba ( Germany ) 75 Red Star ( Yugoslavia ) 70 ( 42-41 ),) 70 ( 42-41 ) is not a named entity .
Alba ( Germany ) 75 Red Star ( Yugoslavia ) 70 ( 42-41 ),( Germany is not a named entity .
Alba ( Germany ) 75 Red Star ( Yugoslavia ) 70 ( 42-41 ),Germany ) 75 Red Star ( is not a named entity .
Alba ( Germany ) 75 Red Star ( Yugoslavia ) 70 ( 42-41 ),) 75 Red Star ( Yugoslavia ) 70 is not a named entity .
Alba ( Germany ) 75 Red Star ( Yugoslavia ) 70 ( 42-41 ),Red Star ( Yugoslavia ) 70 ( is not a named entity .
Alba ( Germany ) 75 Red Star ( Yugoslavia ) 70 ( 42-41 ),Yugoslavia ) 70 ( 42-41 is not a named entity .
Interfax said the discussions were being held in parallel with peace talks mediated by the Organisation for Security and Cooperation in Europe ( OSCE ) and the broad-based Minsk Group of countries led by Russia and Finland .,Interfax is an organization entity .
Interfax said the discussions were being held in parallel with peace talks mediated by the Organisation for Security and Cooperation in Europe ( OSCE ) and the broad-based Minsk Group of countries led by Russia and Finland .,Organisation for Security and Cooperation in Europe is an organization entity .
Interfax said the discussions were being held in parallel with peace talks mediated by the Organisation for Security and Cooperation in Europe ( OSCE ) and the broad-based Minsk Group of countries led by Russia and Finland .,OSCE is an organization entity .
Interfax said the discussions were being held in parallel with peace talks mediated by the Organisation for Security and Cooperation in Europe ( OSCE ) and the broad-based Minsk Group of countries led by Russia and Finland .,Minsk Group is an organization entity .
Interfax said the discussions were being held in parallel with peace talks mediated by the Organisation for Security and Cooperation in Europe ( OSCE ) and the broad-based Minsk Group of countries led by Russia and Finland .,Russia is a location entity .
Interfax said the discussions were being held in parallel with peace talks mediated by the Organisation for Security and Cooperation in Europe ( OSCE ) and the broad-based Minsk Group of countries led by Russia and Finland .,Finland is a location entity .
Interfax said the discussions were being held in parallel with peace talks mediated by the Organisation for Security and Cooperation in Europe ( OSCE ) and the broad-based Minsk Group of countries led by Russia and Finland .,by Russia and is not a named entity .
Interfax said the discussions were being held in parallel with peace talks mediated by the Organisation for Security and Cooperation in Europe ( OSCE ) and the broad-based Minsk Group of countries led by Russia and Finland .,were being held in parallel with is not a named entity .
Interfax said the discussions were being held in parallel with peace talks mediated by the Organisation for Security and Cooperation in Europe ( OSCE ) and the broad-based Minsk Group of countries led by Russia and Finland .,in Europe ( OSCE is not a named entity .
Interfax said the discussions were being held in parallel with peace talks mediated by the Organisation for Security and Cooperation in Europe ( OSCE ) and the broad-based Minsk Group of countries led by Russia and Finland .,discussions were being held in parallel with peace is not a named entity .
Interfax said the discussions were being held in parallel with peace talks mediated by the Organisation for Security and Cooperation in Europe ( OSCE ) and the broad-based Minsk Group of countries led by Russia and Finland .,and the broad-based Minsk Group is not a named entity .
Interfax said the discussions were being held in parallel with peace talks mediated by the Organisation for Security and Cooperation in Europe ( OSCE ) and the broad-based Minsk Group of countries led by Russia and Finland .,and Cooperation in Europe ( is not a named entity .
Interfax said the discussions were being held in parallel with peace talks mediated by the Organisation for Security and Cooperation in Europe ( OSCE ) and the broad-based Minsk Group of countries led by Russia and Finland .,Organisation for Security and Cooperation is not a named entity .
Interfax said the discussions were being held in parallel with peace talks mediated by the Organisation for Security and Cooperation in Europe ( OSCE ) and the broad-based Minsk Group of countries led by Russia and Finland .,Group of countries led by Russia and Finland is not a named entity .
Interfax said the discussions were being held in parallel with peace talks mediated by the Organisation for Security and Cooperation in Europe ( OSCE ) and the broad-based Minsk Group of countries led by Russia and Finland .,of countries led by Russia is not a named entity .
Interfax said the discussions were being held in parallel with peace talks mediated by the Organisation for Security and Cooperation in Europe ( OSCE ) and the broad-based Minsk Group of countries led by Russia and Finland .,Europe ( OSCE ) and is not a named entity .
Interfax said the discussions were being held in parallel with peace talks mediated by the Organisation for Security and Cooperation in Europe ( OSCE ) and the broad-based Minsk Group of countries led by Russia and Finland .,were being held in parallel is not a named entity .
Interfax said the discussions were being held in parallel with peace talks mediated by the Organisation for Security and Cooperation in Europe ( OSCE ) and the broad-based Minsk Group of countries led by Russia and Finland .,of countries led by Russia and Finland . is not a named entity .
BALTIMORE AT SEATTLE,BALTIMORE is an organization entity .
BALTIMORE AT SEATTLE,SEATTLE is a location entity .
BALTIMORE AT SEATTLE,BALTIMORE AT SEATTLE is not a named entity .
BALTIMORE AT SEATTLE,AT is not a named entity .
BALTIMORE AT SEATTLE,BALTIMORE AT is not a named entity .
BALTIMORE AT SEATTLE,AT SEATTLE is not a named entity .
"NABLUS "","" West Bank 1996-08-30",NABLUS is a location entity .
"NABLUS "","" West Bank 1996-08-30",West Bank is a location entity .
"NABLUS "","" West Bank 1996-08-30","NABLUS "","" West Bank 1996-08-30 is not a named entity ."
"NABLUS "","" West Bank 1996-08-30","NABLUS "","" West Bank is not a named entity ."
"NABLUS "","" West Bank 1996-08-30",""","" West is not a named entity ."
"NABLUS "","" West Bank 1996-08-30",""","" is not a named entity ."
""""""""" We have found Nicole on a campsite in Groningen thanks to tipoffs from the Dutch public .",Nicole is a person entity .
""""""""" We have found Nicole on a campsite in Groningen thanks to tipoffs from the Dutch public .",Groningen is a location entity .
""""""""" We have found Nicole on a campsite in Groningen thanks to tipoffs from the Dutch public .",Dutch is an other entity .
""""""""" We have found Nicole on a campsite in Groningen thanks to tipoffs from the Dutch public .",in Groningen thanks to is not a named entity .
""""""""" We have found Nicole on a campsite in Groningen thanks to tipoffs from the Dutch public .",a campsite in is not a named entity .
""""""""" We have found Nicole on a campsite in Groningen thanks to tipoffs from the Dutch public .",campsite in Groningen thanks to is not a named entity .
""""""""" We have found Nicole on a campsite in Groningen thanks to tipoffs from the Dutch public .",on a campsite in is not a named entity .
""""""""" We have found Nicole on a campsite in Groningen thanks to tipoffs from the Dutch public .",campsite in Groningen thanks is not a named entity .
""""""""" We have found Nicole on a campsite in Groningen thanks to tipoffs from the Dutch public .",from is not a named entity .
PARIS 1996-08-31,PARIS is a location entity .
PARIS 1996-08-31,PARIS 1996-08-31 is not a named entity .
PARIS 1996-08-31,1996-08-31 is not a named entity .
"Douglas & Lomason 's profits were hurt in the past year by model changeovers "","" which had reduced production at some important customers "","" but are now recovering "","" analysts said .",Douglas & Lomason is an organization entity .
"Douglas & Lomason 's profits were hurt in the past year by model changeovers "","" which had reduced production at some important customers "","" but are now recovering "","" analysts said .",production at some important is not a named entity .
"Douglas & Lomason 's profits were hurt in the past year by model changeovers "","" which had reduced production at some important customers "","" but are now recovering "","" analysts said .","some important customers "","" is not a named entity ."
""""""""" He was standing right there and knew the shot was down so I called him a cheat "","" """""""" said Hill "","" whose squash career has been blighted by fines and suspensions for unacceptable behaviour .",Hill is a person entity .
""""""""" He was standing right there and knew the shot was down so I called him a cheat "","" """""""" said Hill "","" whose squash career has been blighted by fines and suspensions for unacceptable behaviour .",by fines and suspensions for is not a named entity .
""""""""" He was standing right there and knew the shot was down so I called him a cheat "","" """""""" said Hill "","" whose squash career has been blighted by fines and suspensions for unacceptable behaviour .",squash career has been blighted is not a named entity .
Brighton 4 1 1 2 3 6 4,Brighton is an organization entity .
Brighton 4 1 1 2 3 6 4,3 is not a named entity .
Brighton 4 1 1 2 3 6 4,2 is not a named entity .
2 - Monica Seles ( U.S. ) beat Dally Randriantefy ( Madagascar ),Monica Seles is a person entity .
2 - Monica Seles ( U.S. ) beat Dally Randriantefy ( Madagascar ),U.S. is a location entity .
2 - Monica Seles ( U.S. ) beat Dally Randriantefy ( Madagascar ),Dally Randriantefy is a person entity .
2 - Monica Seles ( U.S. ) beat Dally Randriantefy ( Madagascar ),Madagascar is a location entity .
2 - Monica Seles ( U.S. ) beat Dally Randriantefy ( Madagascar ),2 - Monica Seles ( U.S. is not a named entity .
2 - Monica Seles ( U.S. ) beat Dally Randriantefy ( Madagascar ),- Monica Seles ( U.S. ) is not a named entity .
2 - Monica Seles ( U.S. ) beat Dally Randriantefy ( Madagascar ),U.S. ) beat Dally Randriantefy ( Madagascar is not a named entity .
2 - Monica Seles ( U.S. ) beat Dally Randriantefy ( Madagascar ),- Monica Seles ( is not a named entity .
2 - Monica Seles ( U.S. ) beat Dally Randriantefy ( Madagascar ),( U.S. ) beat Dally Randriantefy ( Madagascar is not a named entity .
2 - Monica Seles ( U.S. ) beat Dally Randriantefy ( Madagascar ),( U.S. ) beat Dally Randriantefy ( is not a named entity .
