sentence,prompt
Wrexham 2 0 2 0 5 5 2,"TL;DR , Wrexham is an organization entity ."
"But during his period in office he has battled against nationalist opponents "","" trade unions and parliament and Sharetsky said the current parliament was ready to try to impeach him .","TL;DR , battled is not a named entity ."
German police searching for a missing 10-year-old schoolgirl said on Friday the prime suspects in the case may have been involved in running a child prostitution ring .,"TL;DR , German is an other entity ."
German police searching for a missing 10-year-old schoolgirl said on Friday the prime suspects in the case may have been involved in running a child prostitution ring .,"TL;DR , the case may have been involved in is not a named entity ."
German police searching for a missing 10-year-old schoolgirl said on Friday the prime suspects in the case may have been involved in running a child prostitution ring .,"TL;DR , a child prostitution ring . is not a named entity ."
""""""""" We believe that the Israeli settlement policy in the occupied areas is an obstacle to the establishment of peace "","" """""""" German Foreign Ministry spokesman Martin Erdmann said .","TL;DR , Israeli is an other entity ."
""""""""" We believe that the Israeli settlement policy in the occupied areas is an obstacle to the establishment of peace "","" """""""" German Foreign Ministry spokesman Martin Erdmann said .","TL;DR , German is an other entity ."
""""""""" We believe that the Israeli settlement policy in the occupied areas is an obstacle to the establishment of peace "","" """""""" German Foreign Ministry spokesman Martin Erdmann said .","TL;DR , Foreign Ministry is an organization entity ."
""""""""" We believe that the Israeli settlement policy in the occupied areas is an obstacle to the establishment of peace "","" """""""" German Foreign Ministry spokesman Martin Erdmann said .","TL;DR , Martin Erdmann is a person entity ."
""""""""" We believe that the Israeli settlement policy in the occupied areas is an obstacle to the establishment of peace "","" """""""" German Foreign Ministry spokesman Martin Erdmann said .","TL;DR , occupied areas is an obstacle is not a named entity ."
""""""""" We believe that the Israeli settlement policy in the occupied areas is an obstacle to the establishment of peace "","" """""""" German Foreign Ministry spokesman Martin Erdmann said .","TL;DR , that the Israeli settlement policy in the occupied is not a named entity ."
""""""""" We believe that the Israeli settlement policy in the occupied areas is an obstacle to the establishment of peace "","" """""""" German Foreign Ministry spokesman Martin Erdmann said .","TL;DR , the establishment is not a named entity ."
""""""""" We believe that the Israeli settlement policy in the occupied areas is an obstacle to the establishment of peace "","" """""""" German Foreign Ministry spokesman Martin Erdmann said .","TL;DR , of peace "","" is not a named entity ."
""""""""" We believe that the Israeli settlement policy in the occupied areas is an obstacle to the establishment of peace "","" """""""" German Foreign Ministry spokesman Martin Erdmann said .","TL;DR , said . is not a named entity ."
""""""""" We believe that the Israeli settlement policy in the occupied areas is an obstacle to the establishment of peace "","" """""""" German Foreign Ministry spokesman Martin Erdmann said .","TL;DR , peace "","" """""""" German Foreign Ministry spokesman Martin is not a named entity ."
""""""""" We believe that the Israeli settlement policy in the occupied areas is an obstacle to the establishment of peace "","" """""""" German Foreign Ministry spokesman Martin Erdmann said .","TL;DR , that the Israeli settlement is not a named entity ."
""""""""" We believe that the Israeli settlement policy in the occupied areas is an obstacle to the establishment of peace "","" """""""" German Foreign Ministry spokesman Martin Erdmann said .","TL;DR , Foreign Ministry spokesman Martin Erdmann said is not a named entity ."
"Green flags and banners praise the """""""" great revolution """""""" and promise defiance against United Nations sanctions imposed for Libya 's refusal to hand over for trial two suspects wanted in connection with the 1988 bombing of a Pan Am flight over Lockerbie "","" Scotland .","TL;DR , United Nations is an organization entity ."
"Green flags and banners praise the """""""" great revolution """""""" and promise defiance against United Nations sanctions imposed for Libya 's refusal to hand over for trial two suspects wanted in connection with the 1988 bombing of a Pan Am flight over Lockerbie "","" Scotland .","TL;DR , Libya is a location entity ."
"Green flags and banners praise the """""""" great revolution """""""" and promise defiance against United Nations sanctions imposed for Libya 's refusal to hand over for trial two suspects wanted in connection with the 1988 bombing of a Pan Am flight over Lockerbie "","" Scotland .","TL;DR , Pan Am is an organization entity ."
"Green flags and banners praise the """""""" great revolution """""""" and promise defiance against United Nations sanctions imposed for Libya 's refusal to hand over for trial two suspects wanted in connection with the 1988 bombing of a Pan Am flight over Lockerbie "","" Scotland .","TL;DR , Lockerbie is a location entity ."
"Green flags and banners praise the """""""" great revolution """""""" and promise defiance against United Nations sanctions imposed for Libya 's refusal to hand over for trial two suspects wanted in connection with the 1988 bombing of a Pan Am flight over Lockerbie "","" Scotland .","TL;DR , Scotland is a location entity ."
"Green flags and banners praise the """""""" great revolution """""""" and promise defiance against United Nations sanctions imposed for Libya 's refusal to hand over for trial two suspects wanted in connection with the 1988 bombing of a Pan Am flight over Lockerbie "","" Scotland .","TL;DR , for Libya 's refusal is not a named entity ."
"Green flags and banners praise the """""""" great revolution """""""" and promise defiance against United Nations sanctions imposed for Libya 's refusal to hand over for trial two suspects wanted in connection with the 1988 bombing of a Pan Am flight over Lockerbie "","" Scotland .","TL;DR , and banners praise the """""""" great revolution """""""" is not a named entity ."
"Green flags and banners praise the """""""" great revolution """""""" and promise defiance against United Nations sanctions imposed for Libya 's refusal to hand over for trial two suspects wanted in connection with the 1988 bombing of a Pan Am flight over Lockerbie "","" Scotland .","TL;DR , banners praise the """""""" great is not a named entity ."
"Green flags and banners praise the """""""" great revolution """""""" and promise defiance against United Nations sanctions imposed for Libya 's refusal to hand over for trial two suspects wanted in connection with the 1988 bombing of a Pan Am flight over Lockerbie "","" Scotland .","TL;DR , and banners praise the """""""" great revolution is not a named entity ."
"Green flags and banners praise the """""""" great revolution """""""" and promise defiance against United Nations sanctions imposed for Libya 's refusal to hand over for trial two suspects wanted in connection with the 1988 bombing of a Pan Am flight over Lockerbie "","" Scotland .","TL;DR , over Lockerbie "","" is not a named entity ."
"Green flags and banners praise the """""""" great revolution """""""" and promise defiance against United Nations sanctions imposed for Libya 's refusal to hand over for trial two suspects wanted in connection with the 1988 bombing of a Pan Am flight over Lockerbie "","" Scotland .","TL;DR , for Libya 's refusal to hand over for is not a named entity ."
"Green flags and banners praise the """""""" great revolution """""""" and promise defiance against United Nations sanctions imposed for Libya 's refusal to hand over for trial two suspects wanted in connection with the 1988 bombing of a Pan Am flight over Lockerbie "","" Scotland .","TL;DR , the """""""" great revolution """""""" and promise is not a named entity ."
"Green flags and banners praise the """""""" great revolution """""""" and promise defiance against United Nations sanctions imposed for Libya 's refusal to hand over for trial two suspects wanted in connection with the 1988 bombing of a Pan Am flight over Lockerbie "","" Scotland .","TL;DR , 's refusal is not a named entity ."
"Green flags and banners praise the """""""" great revolution """""""" and promise defiance against United Nations sanctions imposed for Libya 's refusal to hand over for trial two suspects wanted in connection with the 1988 bombing of a Pan Am flight over Lockerbie "","" Scotland .","TL;DR , against is not a named entity ."
"Green flags and banners praise the """""""" great revolution """""""" and promise defiance against United Nations sanctions imposed for Libya 's refusal to hand over for trial two suspects wanted in connection with the 1988 bombing of a Pan Am flight over Lockerbie "","" Scotland .","TL;DR , with the 1988 bombing of a Pan is not a named entity ."
S. Law c Tillekeratne b Dharmasena 13,"TL;DR , S. Law is a person entity ."
S. Law c Tillekeratne b Dharmasena 13,"TL;DR , Tillekeratne is a person entity ."
S. Law c Tillekeratne b Dharmasena 13,"TL;DR , Dharmasena is a person entity ."
S. Law c Tillekeratne b Dharmasena 13,"TL;DR , b is not a named entity ."
S. Law c Tillekeratne b Dharmasena 13,"TL;DR , c Tillekeratne b is not a named entity ."
S. Law c Tillekeratne b Dharmasena 13,"TL;DR , Tillekeratne b Dharmasena 13 is not a named entity ."
S. Law c Tillekeratne b Dharmasena 13,"TL;DR , Law c Tillekeratne b is not a named entity ."
S. Law c Tillekeratne b Dharmasena 13,"TL;DR , c is not a named entity ."
S. Law c Tillekeratne b Dharmasena 13,"TL;DR , Law c Tillekeratne is not a named entity ."
3. Vasily Kaptyukh ( Belarus ) 66.24,"TL;DR , Vasily Kaptyukh is a person entity ."
3. Vasily Kaptyukh ( Belarus ) 66.24,"TL;DR , Belarus is a location entity ."
3. Vasily Kaptyukh ( Belarus ) 66.24,"TL;DR , 66.24 is not a named entity ."
3. Vasily Kaptyukh ( Belarus ) 66.24,"TL;DR , Vasily is not a named entity ."
3. Vasily Kaptyukh ( Belarus ) 66.24,"TL;DR , Kaptyukh ( Belarus ) 66.24 is not a named entity ."
3. Vasily Kaptyukh ( Belarus ) 66.24,"TL;DR , Kaptyukh ( Belarus ) is not a named entity ."
"9. Raymond Russell ""234,330""","TL;DR , Raymond Russell is a person entity ."
"9. Raymond Russell ""234,330""","TL;DR , Raymond is not a named entity ."
"9. Raymond Russell ""234,330""","TL;DR , Russell ""234,330"" is not a named entity ."
New Zealand win test series 2-1 .,"TL;DR , New Zealand is a location entity ."
New Zealand win test series 2-1 .,"TL;DR , test is not a named entity ."
New Zealand win test series 2-1 .,"TL;DR , Zealand win test series 2-1 is not a named entity ."
Preston 4 1 1 2 4 5 4,"TL;DR , Preston is an organization entity ."
Preston 4 1 1 2 4 5 4,"TL;DR , 4 1 1 2 4 is not a named entity ."
Preston 4 1 1 2 4 5 4,"TL;DR , Preston 4 1 1 is not a named entity ."
Australia at South Africa,"TL;DR , Australia is a location entity ."
Australia at South Africa,"TL;DR , South Africa is a location entity ."
Australia at South Africa,"TL;DR , South is not a named entity ."
Australia at South Africa,"TL;DR , at is not a named entity ."
Australia at South Africa,"TL;DR , at South Africa is not a named entity ."
Australia at South Africa,"TL;DR , Australia at South Africa is not a named entity ."
Gonzalez hit his second homer in the third for his fifth multi-homer game of the season .,"TL;DR , Gonzalez is a person entity ."
Gonzalez hit his second homer in the third for his fifth multi-homer game of the season .,"TL;DR , the third for his fifth multi-homer game is not a named entity ."
Gonzalez hit his second homer in the third for his fifth multi-homer game of the season .,"TL;DR , homer in the third is not a named entity ."
"Phil Mickelson "","" the only four-time winner on the PGA Tour "","" skipped the tournament after winning the World Series of Golf last week .","TL;DR , Phil Mickelson is a person entity ."
"Phil Mickelson "","" the only four-time winner on the PGA Tour "","" skipped the tournament after winning the World Series of Golf last week .","TL;DR , PGA Tour is an other entity ."
"Phil Mickelson "","" the only four-time winner on the PGA Tour "","" skipped the tournament after winning the World Series of Golf last week .","TL;DR , World Series of Golf is an other entity ."
"Phil Mickelson "","" the only four-time winner on the PGA Tour "","" skipped the tournament after winning the World Series of Golf last week .","TL;DR , week . is not a named entity ."
"Phil Mickelson "","" the only four-time winner on the PGA Tour "","" skipped the tournament after winning the World Series of Golf last week .","TL;DR , the World Series of Golf is not a named entity ."
"Phil Mickelson "","" the only four-time winner on the PGA Tour "","" skipped the tournament after winning the World Series of Golf last week .","TL;DR , Phil Mickelson "","" is not a named entity ."
"Phil Mickelson "","" the only four-time winner on the PGA Tour "","" skipped the tournament after winning the World Series of Golf last week .","TL;DR , of is not a named entity ."
"Phil Mickelson "","" the only four-time winner on the PGA Tour "","" skipped the tournament after winning the World Series of Golf last week .","TL;DR , the tournament after winning the World is not a named entity ."
"Phil Mickelson "","" the only four-time winner on the PGA Tour "","" skipped the tournament after winning the World Series of Golf last week .","TL;DR , Golf is not a named entity ."
"Belgium - 1 - Filip De Wilde "","" 2 - Bertrand Crasson "","" 3 - Dirk Medved "","" 4 - Pascal Renier "","" 16 - Geoffrey Claeys "","" 6 - Gunther Schepens ( 15 - Nico Van Kerckhoven "","" 81st ) "","" 10 - Enzo Scifo "","" 7 - Gert Verheyen ( 14 - Frederic Peiremans "","" 62nd ) "","" 9 - Marc Degryse "","" 8 - Luc Nilis "","" 11- Luis Oliveira ( 18 - Gilles De Bilde "","" 88th ) .","TL;DR , Belgium is a location entity ."
"Belgium - 1 - Filip De Wilde "","" 2 - Bertrand Crasson "","" 3 - Dirk Medved "","" 4 - Pascal Renier "","" 16 - Geoffrey Claeys "","" 6 - Gunther Schepens ( 15 - Nico Van Kerckhoven "","" 81st ) "","" 10 - Enzo Scifo "","" 7 - Gert Verheyen ( 14 - Frederic Peiremans "","" 62nd ) "","" 9 - Marc Degryse "","" 8 - Luc Nilis "","" 11- Luis Oliveira ( 18 - Gilles De Bilde "","" 88th ) .","TL;DR , Filip De Wilde is a person entity ."
"Belgium - 1 - Filip De Wilde "","" 2 - Bertrand Crasson "","" 3 - Dirk Medved "","" 4 - Pascal Renier "","" 16 - Geoffrey Claeys "","" 6 - Gunther Schepens ( 15 - Nico Van Kerckhoven "","" 81st ) "","" 10 - Enzo Scifo "","" 7 - Gert Verheyen ( 14 - Frederic Peiremans "","" 62nd ) "","" 9 - Marc Degryse "","" 8 - Luc Nilis "","" 11- Luis Oliveira ( 18 - Gilles De Bilde "","" 88th ) .","TL;DR , Bertrand Crasson is a person entity ."
"Belgium - 1 - Filip De Wilde "","" 2 - Bertrand Crasson "","" 3 - Dirk Medved "","" 4 - Pascal Renier "","" 16 - Geoffrey Claeys "","" 6 - Gunther Schepens ( 15 - Nico Van Kerckhoven "","" 81st ) "","" 10 - Enzo Scifo "","" 7 - Gert Verheyen ( 14 - Frederic Peiremans "","" 62nd ) "","" 9 - Marc Degryse "","" 8 - Luc Nilis "","" 11- Luis Oliveira ( 18 - Gilles De Bilde "","" 88th ) .","TL;DR , Dirk Medved is a person entity ."
"Belgium - 1 - Filip De Wilde "","" 2 - Bertrand Crasson "","" 3 - Dirk Medved "","" 4 - Pascal Renier "","" 16 - Geoffrey Claeys "","" 6 - Gunther Schepens ( 15 - Nico Van Kerckhoven "","" 81st ) "","" 10 - Enzo Scifo "","" 7 - Gert Verheyen ( 14 - Frederic Peiremans "","" 62nd ) "","" 9 - Marc Degryse "","" 8 - Luc Nilis "","" 11- Luis Oliveira ( 18 - Gilles De Bilde "","" 88th ) .","TL;DR , Pascal Renier is a person entity ."
"Belgium - 1 - Filip De Wilde "","" 2 - Bertrand Crasson "","" 3 - Dirk Medved "","" 4 - Pascal Renier "","" 16 - Geoffrey Claeys "","" 6 - Gunther Schepens ( 15 - Nico Van Kerckhoven "","" 81st ) "","" 10 - Enzo Scifo "","" 7 - Gert Verheyen ( 14 - Frederic Peiremans "","" 62nd ) "","" 9 - Marc Degryse "","" 8 - Luc Nilis "","" 11- Luis Oliveira ( 18 - Gilles De Bilde "","" 88th ) .","TL;DR , Geoffrey Claeys is a person entity ."
"Belgium - 1 - Filip De Wilde "","" 2 - Bertrand Crasson "","" 3 - Dirk Medved "","" 4 - Pascal Renier "","" 16 - Geoffrey Claeys "","" 6 - Gunther Schepens ( 15 - Nico Van Kerckhoven "","" 81st ) "","" 10 - Enzo Scifo "","" 7 - Gert Verheyen ( 14 - Frederic Peiremans "","" 62nd ) "","" 9 - Marc Degryse "","" 8 - Luc Nilis "","" 11- Luis Oliveira ( 18 - Gilles De Bilde "","" 88th ) .","TL;DR , Gunther Schepens is a person entity ."
"Belgium - 1 - Filip De Wilde "","" 2 - Bertrand Crasson "","" 3 - Dirk Medved "","" 4 - Pascal Renier "","" 16 - Geoffrey Claeys "","" 6 - Gunther Schepens ( 15 - Nico Van Kerckhoven "","" 81st ) "","" 10 - Enzo Scifo "","" 7 - Gert Verheyen ( 14 - Frederic Peiremans "","" 62nd ) "","" 9 - Marc Degryse "","" 8 - Luc Nilis "","" 11- Luis Oliveira ( 18 - Gilles De Bilde "","" 88th ) .","TL;DR , Nico Van Kerckhoven is a person entity ."
"Belgium - 1 - Filip De Wilde "","" 2 - Bertrand Crasson "","" 3 - Dirk Medved "","" 4 - Pascal Renier "","" 16 - Geoffrey Claeys "","" 6 - Gunther Schepens ( 15 - Nico Van Kerckhoven "","" 81st ) "","" 10 - Enzo Scifo "","" 7 - Gert Verheyen ( 14 - Frederic Peiremans "","" 62nd ) "","" 9 - Marc Degryse "","" 8 - Luc Nilis "","" 11- Luis Oliveira ( 18 - Gilles De Bilde "","" 88th ) .","TL;DR , Enzo Scifo is a person entity ."
"Belgium - 1 - Filip De Wilde "","" 2 - Bertrand Crasson "","" 3 - Dirk Medved "","" 4 - Pascal Renier "","" 16 - Geoffrey Claeys "","" 6 - Gunther Schepens ( 15 - Nico Van Kerckhoven "","" 81st ) "","" 10 - Enzo Scifo "","" 7 - Gert Verheyen ( 14 - Frederic Peiremans "","" 62nd ) "","" 9 - Marc Degryse "","" 8 - Luc Nilis "","" 11- Luis Oliveira ( 18 - Gilles De Bilde "","" 88th ) .","TL;DR , Gert Verheyen is a person entity ."
"Belgium - 1 - Filip De Wilde "","" 2 - Bertrand Crasson "","" 3 - Dirk Medved "","" 4 - Pascal Renier "","" 16 - Geoffrey Claeys "","" 6 - Gunther Schepens ( 15 - Nico Van Kerckhoven "","" 81st ) "","" 10 - Enzo Scifo "","" 7 - Gert Verheyen ( 14 - Frederic Peiremans "","" 62nd ) "","" 9 - Marc Degryse "","" 8 - Luc Nilis "","" 11- Luis Oliveira ( 18 - Gilles De Bilde "","" 88th ) .","TL;DR , Frederic Peiremans is a person entity ."
"Belgium - 1 - Filip De Wilde "","" 2 - Bertrand Crasson "","" 3 - Dirk Medved "","" 4 - Pascal Renier "","" 16 - Geoffrey Claeys "","" 6 - Gunther Schepens ( 15 - Nico Van Kerckhoven "","" 81st ) "","" 10 - Enzo Scifo "","" 7 - Gert Verheyen ( 14 - Frederic Peiremans "","" 62nd ) "","" 9 - Marc Degryse "","" 8 - Luc Nilis "","" 11- Luis Oliveira ( 18 - Gilles De Bilde "","" 88th ) .","TL;DR , Marc Degryse is a person entity ."
"Belgium - 1 - Filip De Wilde "","" 2 - Bertrand Crasson "","" 3 - Dirk Medved "","" 4 - Pascal Renier "","" 16 - Geoffrey Claeys "","" 6 - Gunther Schepens ( 15 - Nico Van Kerckhoven "","" 81st ) "","" 10 - Enzo Scifo "","" 7 - Gert Verheyen ( 14 - Frederic Peiremans "","" 62nd ) "","" 9 - Marc Degryse "","" 8 - Luc Nilis "","" 11- Luis Oliveira ( 18 - Gilles De Bilde "","" 88th ) .","TL;DR , Luc Nilis is a person entity ."
"Belgium - 1 - Filip De Wilde "","" 2 - Bertrand Crasson "","" 3 - Dirk Medved "","" 4 - Pascal Renier "","" 16 - Geoffrey Claeys "","" 6 - Gunther Schepens ( 15 - Nico Van Kerckhoven "","" 81st ) "","" 10 - Enzo Scifo "","" 7 - Gert Verheyen ( 14 - Frederic Peiremans "","" 62nd ) "","" 9 - Marc Degryse "","" 8 - Luc Nilis "","" 11- Luis Oliveira ( 18 - Gilles De Bilde "","" 88th ) .","TL;DR , Luis Oliveira is a person entity ."
"Belgium - 1 - Filip De Wilde "","" 2 - Bertrand Crasson "","" 3 - Dirk Medved "","" 4 - Pascal Renier "","" 16 - Geoffrey Claeys "","" 6 - Gunther Schepens ( 15 - Nico Van Kerckhoven "","" 81st ) "","" 10 - Enzo Scifo "","" 7 - Gert Verheyen ( 14 - Frederic Peiremans "","" 62nd ) "","" 9 - Marc Degryse "","" 8 - Luc Nilis "","" 11- Luis Oliveira ( 18 - Gilles De Bilde "","" 88th ) .","TL;DR , Gilles De Bilde is a person entity ."
"Belgium - 1 - Filip De Wilde "","" 2 - Bertrand Crasson "","" 3 - Dirk Medved "","" 4 - Pascal Renier "","" 16 - Geoffrey Claeys "","" 6 - Gunther Schepens ( 15 - Nico Van Kerckhoven "","" 81st ) "","" 10 - Enzo Scifo "","" 7 - Gert Verheyen ( 14 - Frederic Peiremans "","" 62nd ) "","" 9 - Marc Degryse "","" 8 - Luc Nilis "","" 11- Luis Oliveira ( 18 - Gilles De Bilde "","" 88th ) .","TL;DR , 15 - is not a named entity ."
"Belgium - 1 - Filip De Wilde "","" 2 - Bertrand Crasson "","" 3 - Dirk Medved "","" 4 - Pascal Renier "","" 16 - Geoffrey Claeys "","" 6 - Gunther Schepens ( 15 - Nico Van Kerckhoven "","" 81st ) "","" 10 - Enzo Scifo "","" 7 - Gert Verheyen ( 14 - Frederic Peiremans "","" 62nd ) "","" 9 - Marc Degryse "","" 8 - Luc Nilis "","" 11- Luis Oliveira ( 18 - Gilles De Bilde "","" 88th ) .","TL;DR , - Gert Verheyen ( 14 - Frederic is not a named entity ."
"Belgium - 1 - Filip De Wilde "","" 2 - Bertrand Crasson "","" 3 - Dirk Medved "","" 4 - Pascal Renier "","" 16 - Geoffrey Claeys "","" 6 - Gunther Schepens ( 15 - Nico Van Kerckhoven "","" 81st ) "","" 10 - Enzo Scifo "","" 7 - Gert Verheyen ( 14 - Frederic Peiremans "","" 62nd ) "","" 9 - Marc Degryse "","" 8 - Luc Nilis "","" 11- Luis Oliveira ( 18 - Gilles De Bilde "","" 88th ) .","TL;DR , 2 - Bertrand Crasson "","" is not a named entity ."
"Belgium - 1 - Filip De Wilde "","" 2 - Bertrand Crasson "","" 3 - Dirk Medved "","" 4 - Pascal Renier "","" 16 - Geoffrey Claeys "","" 6 - Gunther Schepens ( 15 - Nico Van Kerckhoven "","" 81st ) "","" 10 - Enzo Scifo "","" 7 - Gert Verheyen ( 14 - Frederic Peiremans "","" 62nd ) "","" 9 - Marc Degryse "","" 8 - Luc Nilis "","" 11- Luis Oliveira ( 18 - Gilles De Bilde "","" 88th ) .","TL;DR , Bertrand Crasson "","" 3 is not a named entity ."
"Belgium - 1 - Filip De Wilde "","" 2 - Bertrand Crasson "","" 3 - Dirk Medved "","" 4 - Pascal Renier "","" 16 - Geoffrey Claeys "","" 6 - Gunther Schepens ( 15 - Nico Van Kerckhoven "","" 81st ) "","" 10 - Enzo Scifo "","" 7 - Gert Verheyen ( 14 - Frederic Peiremans "","" 62nd ) "","" 9 - Marc Degryse "","" 8 - Luc Nilis "","" 11- Luis Oliveira ( 18 - Gilles De Bilde "","" 88th ) .","TL;DR , "","" 62nd ) "","" 9 - is not a named entity ."
